Date,FIPS,MMWR_week,Recip_County,Recip_State,Series_Complete_Pop_Pct,Series_Complete_Yes,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Completeness_pct,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,SVI_CTGY,Series_Complete_Pop_Pct_SVI,Series_Complete_12PlusPop_Pct_SVI,Series_Complete_18PlusPop_Pct_SVI,Series_Complete_65PlusPop_Pct_SVI
08/15/2021,40149,33,Washita County,OK,29.2,3184,3182,34.7,3100,37.6,1265,62.1,93.6,4005,36.7,4003,43.6,3860,46.8,1522,74.7,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
08/15/2021,51510,33,Alexandria city,VA,27.8,44380,44265,32.1,41989,32.1,7076,36.5,51.3,50095,31.4,49932,36.2,47178,36.1,7733,39.9,Low,Low VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI,Low-Mod VC/Low SVI
08/15/2021,9015,33,Windham County,CT,52.2,60993,60984,59.7,57835,61.7,17383,86.8,98.4,66877,57.3,66838,65.4,62841,67,18385,91.8,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,17139,33,Moultrie County,IL,32.2,4664,4663,38.3,4549,42,1968,70,97.7,5540,38.2,5537,45.5,5342,49.3,2266,80.6,Low-Mod,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,27047,33,Freeborn County,MN,47,14221,14190,54.6,13610,57.5,5608,82.1,94.5,15394,50.8,15350,59.1,14641,61.9,5772,84.5,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,8117,33,Summit County,CO,71.4,22139,22065,79.8,20955,80.7,3585,80.9,97.4,24663,79.5,24562,88.9,23222,89.4,3729,84.1,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,21125,33,Laurel County,KY,30.4,18493,18493,35.8,17900,38.3,6402,63,93.4,21312,35,21311,41.3,20408,43.6,6823,67.1,High,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI,Mod-High VC/High SVI
08/15/2021,33009,33,Grafton County,NH,64.9,58319,58305,72.2,55294,73.2,17298,90.2,94,64876,72.2,64843,80.3,61210,81,18830,98.2,Low,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,48157,33,Fort Bend County,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low-Mod,,,,
08/15/2021,48045,33,Briscoe County,TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Low-Mod,,,,
08/15/2021,29179,33,Reynolds County,MO,17.4,1092,1092,19.9,1077,21.5,509,34.3,90.9,1451,23.1,1450,26.4,1413,28.2,602,40.6,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low-Mod VC/Mod-High SVI
08/15/2021,29215,33,Texas County,MO,23.9,6077,6077,27.8,5962,29.8,2534,46.4,90.9,7581,29.8,7580,34.7,7359,36.8,2916,53.4,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
08/15/2021,51153,33,Prince William County,VA,50.3,236527,235809,60.9,214677,62.4,34196,70.5,51.3,268286,57,267167,69,241468,70.2,36815,75.9,Low-Mod,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,55078,33,Menominee County,WI,52.6,2398,2398,68.2,2185,71.9,598,93.9,97,2718,59.7,2716,77.2,2391,78.6,606,95.1,High,High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
08/15/2021,27007,33,Beltrami County,MN,46.3,21860,21814,55.9,20558,58.2,6809,87.6,94.5,25996,55.1,25920,66.5,24253,68.6,7355,94.6,High,Mod-High VC/High SVI,High VC/High SVI,High VC/High SVI,High VC/High SVI
08/15/2021,55091,33,Pepin County,WI,41.7,3039,3039,48.4,2895,50.2,1284,74.9,97,3234,44.4,3234,51.5,3065,53.1,1321,77.1,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,27135,33,Roseau County,MN,41.5,6300,6296,49.2,6053,52.6,2221,80.8,94.5,6946,45.8,6938,54.2,6608,57.5,2344,85.2,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI,High VC/Low SVI
08/15/2021,34017,33,Hudson County,NJ,58.8,395190,395175,68.8,375914,70.2,57640,70.4,93.1,470475,70,470385,81.9,444145,82.9,68236,83.3,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
08/15/2021,56001,33,Albany County,WY,43.4,16883,16882,48.8,16209,49.7,3830,80.6,96.4,19180,49.3,19179,55.4,18260,56,4106,86.4,Low,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,High VC/Low SVI
08/15/2021,46089,33,McPherson County,SD,9.5,227,227,11.4,219,12.2,83,12.3,83.7,,0,,0,,0,,0,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI
08/15/2021,17135,33,Montgomery County,IL,36.6,10388,10383,42.1,10048,44.3,4160,71.1,97.7,13171,46.4,13155,53.3,12591,55.5,4885,83.5,Low-Mod,Low-Mod VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI
08/15/2021,8093,33,Park County,CO,39.7,7473,7464,43.7,7215,45,2418,59.4,97.4,8028,42.6,8012,46.9,7704,48.1,2524,62,Low,Low-Mod VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI,Mod-High VC/Low SVI
08/15/2021,30053,33,Lincoln County,MT,28,5588,5588,31.5,5474,33.4,2921,49.5,95.6,6196,31,6196,34.9,6045,36.9,3136,53.1,Low-Mod,Low VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI,Low-Mod VC/Low-Mod SVI
08/15/2021,53009,33,Clallam County,WA,57.5,44493,44492,64.7,43005,66.8,19422,82.5,96.2,48252,62.4,48247,70.2,46527,72.3,20787,88.3,Mod-High,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI,High VC/Mod-High SVI
08/15/2021,47015,33,Cannon County,TN,22.6,3321,3321,26.4,3273,28.4,1377,50.6,97.8,3961,27,3961,31.5,3877,33.6,1537,56.5,Low-Mod,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Low VC/Low-Mod SVI,Mod-High VC/Low-Mod SVI
08/15/2021,13079,33,Crawford County,GA,12.8,1592,1592,14.7,1558,15.7,545,22.6,54.5,1853,14.9,1853,17.1,1789,18.1,650,27,Mod-High,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI,Low VC/Mod-High SVI
08/15/2021,13249,33,Schley County,GA,11.1,585,585,12.9,559,14,105,11.2,54.5,,0,,0,,0,,0,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI
08/15/2021,13107,33,Emanuel County,GA,20,4520,4520,23.9,4442,26.1,1643,44.1,54.5,5558,24.5,5555,29.4,5383,31.6,1815,48.7,High,Low VC/High SVI,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI
08/15/2021,54019,33,Fayette County,WV,25.7,10902,10896,29.7,10352,30.7,3962,42.9,57.8,13878,32.7,13871,37.8,13042,38.7,4644,50.3,High,Low VC/High SVI,Low VC/High SVI,Low-Mod VC/High SVI,Low-Mod VC/High SVI
08/15/2021,27001,33,Aitkin County,MN,49.9,7923,7912,55.4,7695,58,4071,75.8,94.5,8561,53.9,8547,59.9,8250,62.2,4217,78.5,Low-Mod,Mod-High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI,High VC/Low-Mod SVI
